Country	Population	Total Cases	Total Deaths	Total Tests	Vaccinations Per Date
Afghanistan	38928341	151770	7000	0	219159
Albania	2877800	135550	2463	737014	560007
Algeria	43851043	186655	4766	0	724812
Angola	32866268	44534	1086	0	722610
Antigua and Barbuda	97928	1378	43	16700	31414
Argentina	45195777	5080908	108936	12519696	9821987
Armenia	2963234	234227	4685	1415538	62373
Australia	25499881	39097	958	27361145	5253934
Austria	9006400	667841	10754	70108599	4987968
Azerbaijan	10139175	365009	5138	4164163	2358955
Bahamas	393248	16141	311	0	47580
Bahrain	1701583	270816	1384	5631541	1069945
Bangladesh	164689383	1412218	23988	8248141	5224248
Barbados	287371	4525	48	0	82733
Belarus	9449321	459998	3593	7463902	1095778
Belgium	11589616	1149869	25287	17847770	7569904
Belize	397621	14847	344	194029	58476
Benin	12123198	9065	113	640586	21405
Bermuda	62273	0	0	0	41223
Bhutan	771612	2570	3	798573	475661
Bolivia	11673029	481631	18152	2160529	2027136
Bosnia and Herzegovina	3280815	207076	9701	1092969	327698
Botswana	2351625	136758	1973	0	146299
Brazil	212559409	20350142	568788	31716527	49297923
Brunei	437483	640	3	0	46440
Bulgaria	6948445	432962	18339	3830741	1071839
Burkina Faso	20903278	13671	170	0	0
Burundi	11890781	9620	38	0	0
Cambodia	16718971	84860	1666	1579750	6967688
Cameroon	26545864	82454	1338	0	61818
Canada	37742157	1458326	26658	39199157	24025326
Cape Verde	555988	34344	299	0	25824
Central African Republic	4829764	11251	99	0	9901
Chad	16425859	4982	174	0	10863
Chile	19116209	1628293	36331	19048353	12974102
China	1439323774	94442	4639	160000000	777046000
Colombia	50882884	4864629	123356	23179061	13590141
Comoros	869595	4038	147	0	67783
Congo	5518092	13356	179	0	95043
Costa Rica	5094114	428295	5211	1521711	862851
Cote d'Ivoire	26378275	52202	359	826678	0
Croatia	4105268	366724	8282	2380422	1546645
Cyprus	888005	108707	456	10792386	486972
Czechia	10708982	1676080	30378	0	5308063
Democratic Republic of Congo	89561404	53136	1050	0	4260
Denmark	5792203	331163	2561	38526500	3749106
Djibouti	988002	11676	156	0	20516
Dominica	71991	576	0	0	19732
Dominican Republic	10847904	345960	3976	1875579	4455264
Ecuador	17643060	493767	31870	1624890	4622931
Egypt	102334403	285257	16615	0	1866622
El Salvador	6486201	90129	2781	892564	1929977
Equatorial Guinea	1402985	8972	123	182355	136091
Eritrea	3546427	6601	37	0	0
