Country	Population	Total Cases	Total Deaths	Total Tests	Vaccinations Per Date	Percent Infected	Percent Vaccinated	Percentage Tested	Death Rate	 Infected Testing Rate	Vaccination Rate
Afghanistan	38928341	151770	7000	0	219159	0.0038	0.0056	0.0000	0.0461	0.0000	1.4440
Albania	2877800	135550	2463	737014	560007	0.0471	0.1945	0.2561	0.0181	5.4372	4.1313
Algeria	43851043	186655	4766	0	724812	0.0042	0.0165	0.0000	0.0255	0.0000	3.8831
Angola	32866268	44534	1086	0	722610	0.0013	0.0219	0.0000	0.0243	0.0000	16.226
Antigua and Barbuda	97928	1378	43	16700	31414	0.0140	0.3207	0.1705	0.0312	12.119	22.796
Argentina	45195777	5080908	108936	12519696	9821987	0.1124	0.2173	0.2770	0.0214	2.4640	1.9331
Armenia	2963234	234227	4685	1415538	62373	0.0790	0.0210	0.4777	0.0200	6.0434	0.2662
Australia	25499881	39097	958	27361145	5253934	0.0015	0.2060	1.0729	0.0245	699.82	134.38
Austria	9006400	667841	10754	70108599	4987968	0.0741	0.5538	7.7843	0.0161	104.97	7.4687
Azerbaijan	10139175	365009	5138	4164163	2358955	0.0359	0.2326	0.4107	0.0140	11.408	6.4627
Bahamas	393248	16141	311	0	47580	0.0410	0.1209	0.0000	0.0192	0.0000	2.9477
Bahrain	1701583	270816	1384	5631541	1069945	0.1591	0.6287	3.3095	0.0051	20.794	3.9508
Bangladesh	164689383	1412218	23988	8248141	5224248	0.0085	0.0317	0.0500	0.0169	5.8405	3.6993
Barbados	287371	4525	48	0	82733	0.0157	0.2878	0.0000	0.0106	0.0000	18.283
Belarus	9449321	459998	3593	7463902	1095778	0.0486	0.1159	0.7898	0.0078	16.225	2.3821
Belgium	11589616	1149869	25287	17847770	7569904	0.0992	0.6531	1.5399	0.0219	15.521	6.5832
Belize	397621	14847	344	194029	58476	0.0373	0.1470	0.4879	0.0231	13.068	3.9385
Benin	12123198	9065	113	640586	21405	0.0007	0.0017	0.0528	0.0124	70.665	2.3612
Bhutan	771612	2570	3	798573	475661	0.0033	0.6164	1.0349	0.0011	310.72	185.08
Bolivia	11673029	481631	18152	2160529	2027136	0.0412	0.1736	0.1850	0.0376	4.4858	4.2088
Bosnia and Herzegovina	3280815	207076	9701	1092969	327698	0.0631	0.0998	0.3331	0.0468	5.2781	1.5825
Botswana	2351625	136758	1973	0	146299	0.0581	0.0622	0.0000	0.0144	0.0000	1.0697
Brazil	212559409	20350142	568788	31716527	49297923	0.0957	0.2319	0.1492	0.0279	1.5585	2.4224
Brunei	437483	640	3	0	46440	0.0014	0.1061	0.0000	0.0046	0.0000	72.562
Bulgaria	6948445	432962	18339	3830741	1071839	0.0623	0.1542	0.5513	0.0423	8.8477	2.4755
Burkina Faso	20903278	13671	170	0	0	0.0006	0.0000	0.0000	0.0124	0.0000	0.0000
Burundi	11890781	9620	38	0	0	0.0008	0.0000	0.0000	0.0039	0.0000	0.0000
Cambodia	16718971	84860	1666	1579750	6967688	0.0050	0.4167	0.0944	0.0196	18.615	82.108
Cameroon	26545864	82454	1338	0	61818	0.0031	0.0023	0.0000	0.0162	0.0000	0.7497
Canada	37742157	1458326	26658	39199157	24025326	0.0386	0.6365	1.0386	0.0182	26.879	16.474
Cape Verde	555988	34344	299	0	25824	0.0617	0.0464	0.0000	0.0087	0.0000	0.7519
Central African Republic	4829764	11251	99	0	9901	0.0023	0.0020	0.0000	0.0087	0.0000	0.8800
Chad	16425859	4982	174	0	10863	0.0003	0.0006	0.0000	0.0349	0.0000	2.1804
Chile	19116209	1628293	36331	19048353	12974102	0.0851	0.6786	0.9964	0.0223	11.698	7.9679
China	1439323774	94442	4639	160000000	777046000	0.0000	0.5398	0.1111	0.0491	1694.1	8227.7
Colombia	50882884	4864629	123356	23179061	13590141	0.0956	0.2670	0.4555	0.0253	4.7648	2.7936
Comoros	869595	4038	147	0	67783	0.0046	0.0779	0.0000	0.0364	0.0000	16.786
Congo	5518092	13356	179	0	95043	0.0024	0.0172	0.0000	0.0134	0.0000	7.1161
Costa Rica	5094114	428295	5211	1521711	862851	0.0840	0.1693	0.2987	0.0121	3.5529	2.0146
Cote d'Ivoire	26378275	52202	359	826678	0	0.0019	0.0000	0.0313	0.0068	15.836	0.0000
Croatia	4105268	366724	8282	2380422	1546645	0.0893	0.3767	0.5798	0.0225	6.4910	4.2174
Cyprus	888005	108707	456	10792386	486972	0.1224	0.5483	12.153	0.0041	99.279	4.4796
Czechia	10708982	1676080	30378	0	5308063	0.1565	0.4956	0.0000	0.0181	0.0000	3.1669
Democratic Republic of Congo	89561404	53136	1050	0	4260	0.0005	0.0000	0.0000	0.0197	0.0000	0.0801
Denmark	5792203	331163	2561	38526500	3749106	0.0571	0.6472	6.6514	0.0077	116.33	11.321
Djibouti	988002	11676	156	0	20516	0.0118	0.0207	0.0000	0.0133	0.0000	1.7571
Dominica	71991	576	0	0	19732	0.0080	0.2740	0.0000	0.0000	0.0000	34.256
Dominican Republic	10847904	345960	3976	1875579	4455264	0.0318	0.4107	0.1728	0.0114	5.4213	12.877
